faq_id,question,answer,category
FAQ001,How do I track my order?,Go to My Orders > Select Order > Track Package for real-time courier updates.,Delivery Issue
FAQ002,What should I do if my order is delayed?,"Check tracking first. If no update for 48 hours, raise a complaint via My Orders > Help.",Delivery Issue
FAQ003,Can I change my delivery address after placing an order?,"Yes, before dispatch. Go to My Orders > Order Details > Edit Address.",Delivery Issue
FAQ004,What happens if I miss my delivery?,Courier will reattempt delivery. You can also reschedule via the tracking link.,Delivery Issue
FAQ005,How do I reschedule my delivery?,Use the tracking link in your SMS/email to select a new delivery slot.,Delivery Issue
FAQ006,What if my package shows delivered but I didn't receive it?,Raise a complaint within 48 hours via My Orders > Report > Item Not Received.,Delivery Issue
FAQ007,Can I request a specific delivery time?,You can choose a preferred slot during checkout if available in your pin code.,Delivery Issue
FAQ008,What if my package is damaged on arrival?,"Do not accept if visibly damaged. If opened and damaged, report via My Orders within 48 hours.",Delivery Issue
FAQ009,Why was my order returned to seller?,This happens after failed delivery attempts. Contact support to reship or get refund.,Delivery Issue
FAQ010,Do you deliver to all pin codes in India?,"We deliver to 27,000+ pin codes. Enter your pin code on product page to check availability.",Delivery Issue
FAQ011,What courier partners do you use?,"We use BlueDart, Delhivery, Ecom Express, Amazon Logistics, and other regional partners.",Delivery Issue
FAQ012,Can I pick up my order from a warehouse?,Self-pickup is not available currently. All orders are home delivered.,Delivery Issue
FAQ013,Why is my order split into multiple shipments?,Items from different sellers or warehouses may ship separately with different tracking IDs.,Delivery Issue
FAQ014,How do I report a fake delivery attempt?,Go to My Orders > Track > Report False Delivery Attempt to file an official complaint.,Delivery Issue
FAQ015,What is the estimated delivery time?,Standard: 3-7 days. Express: 1-2 days. Same-day available in select cities.,Delivery Issue
FAQ016,What is the return policy?,Most products: 10-day return window. Electronics: 7 days. Some items are non-returnable.,Refund & Return
FAQ017,How long does a refund take?,5-7 business days to original source. UPI/wallets: 2-3 days. COD: 7-9 days to bank.,Refund & Return
FAQ018,How do I initiate a return?,Go to My Orders > Select Order > Return/Replace > Choose reason > Submit.,Refund & Return
FAQ019,Can I return a product after the return window?,"Generally no, but exceptions can be made for manufacturing defects. Contact support.",Refund & Return
FAQ020,What items cannot be returned?,"Innerwear, swimwear, perishables, customized items, and digital products are non-returnable.",Refund & Return
FAQ021,How do I track my return?,Go to My Orders > Return Requests > Track Return to see pickup and processing status.,Refund & Return
FAQ022,Will I get a full refund?,Yes for most cases. Partial refund may apply if item is not returned in original condition.,Refund & Return
FAQ023,Can I exchange instead of return?,Exchange is available for fashion and footwear for size/color changes.,Refund & Return
FAQ024,What if the return pickup is not done?,Raise an escalation after 3 missed pickups via My Orders > Help > Escalate.,Refund & Return
FAQ025,How do I return a gift item?,Gift returns are supported. You'll need the order ID which the gifter can share.,Refund & Return
FAQ026,Is return free of cost?,"Yes, return pickup is free for eligible products. You don't need to pay anything.",Refund & Return
FAQ027,What if quality check fails on return?,"If we find item not in original condition, return may be rejected. Contact support to dispute.",Refund & Return
FAQ028,Can I cancel a return request?,"Yes, cancel the return from My Orders > Return Requests before the pickup happens.",Refund & Return
FAQ029,Where will my refund be credited?,To the original payment method. You can also opt for store credit for faster processing.,Refund & Return
FAQ030,How to return a bundled product?,All items in a bundle must be returned together for a full refund.,Refund & Return
FAQ031,What payment methods are accepted?,"Cards, Net Banking, UPI, Wallets (Paytm, PhonePe, Amazon Pay), EMI, and COD.",Payment Issue
FAQ032,Is Cash on Delivery available?,"COD is available for most pin codes for orders below ₹50,000.",Payment Issue
FAQ033,How to use a coupon code?,Enter coupon in the 'Apply Coupon' field at checkout. One coupon per order.,Payment Issue
FAQ034,What should I do if my payment fails?,"Check your bank/wallet. If debited but order not placed, it auto-reverses in 5-7 days.",Payment Issue
FAQ035,Are EMI options available?,"Yes, No-cost EMI available on select cards for orders above ₹3,000.",Payment Issue
FAQ036,How do I get a GST invoice?,GST invoice is auto-generated. Download from My Orders > Invoice. Update GSTIN in profile.,Payment Issue
FAQ037,Can I pay in installments?,"Yes, EMI options from 3 to 24 months are available on eligible cards.",Payment Issue
FAQ038,Is it safe to save my card?,"Yes, cards are tokenized as per RBI guidelines. We don't store actual card numbers.",Payment Issue
FAQ039,How to use wallet balance?,Select 'Pay from Wallet' at checkout. Balance will be applied automatically.,Payment Issue
FAQ040,What is the price guarantee policy?,"If price drops within 24 hours of your order, you can request a price match.",Payment Issue
FAQ041,Why was I charged more than the cart total?,"Check for applicable taxes, delivery charges, or packaging fees added at checkout.",Payment Issue
FAQ042,Can I split payment between two methods?,"Yes, you can use wallet + card or wallet + net banking in many cases.",Payment Issue
FAQ043,How to get a duplicate invoice?,Go to My Orders > Select Order > Download Invoice or contact support.,Payment Issue
FAQ044,What are the charges for COD?,A handling fee of ₹40-₹60 may apply for Cash on Delivery orders.,Payment Issue
FAQ045,How to add/remove a saved card?,"Go to Account > Saved Cards to add, edit, or delete your payment methods.",Payment Issue
FAQ046,How do I check product warranty?,Warranty details are on the product page. Keep invoice for claiming warranty.,Product Issue
FAQ047,What if I receive a wrong product?,Report via My Orders > Report Issue > Wrong Item within 48 hours of delivery.,Product Issue
