ticket_id,created_date,ticket_text,product_name,product_segment,ticket_category,priority,sentiment,confidence_score,escalated,resolution_text,resolved_date,resolution_days,auto_resolved,customer_satisfaction_score
TKT100000,2023-08-12,The lipstick I received in order #ORD5614226 stopped working after just 5 days of use.,lipstick,Beauty & Personal Care,Product Issue,High,Negative,0.66,Yes,Full refund processed. Seller account flagged for quality investigation.,2023-08-14,2,No,1
TKT100001,2023-12-11,The shoe rack received in order #ORD8038374 has scratches and dents. Looks like a returned/used item.,shoe rack,Home & Kitchen,Product Issue,High,Negative,0.74,Yes,Missing accessory shipped separately at no additional cost.,2023-12-12,1,No,1
TKT100002,2024-01-06,I want to exchange my conditioner (order #ORD6770619) for a different size. Exchange option is missing.,conditioner,Beauty & Personal Care,Refund & Return,Low,Positive,0.93,No,Accidental order refund approved. Amount credited within 2 days.,2024-01-16,10,Yes,4
TKT100003,2024-11-17,My makeup brush set from order #ORD4823498 appears to be counterfeit/fake. Not the original brand.,makeup brush set,Beauty & Personal Care,Product Issue,High,Very Negative,0.78,Yes,Missing accessory shipped separately at no additional cost.,2024-11-20,3,No,1
TKT100004,2023-08-23,Product listing for lipstick is completely misleading. The actual product is nothing like the photos.,lipstick,Beauty & Personal Care,Product Issue,Medium,Neutral,0.94,No,Replacement lipstick dispatched after quality team verification.,2023-08-24,1,No,4
TKT100005,2023-09-27,EMI option for my protein powder (order #ORD4539704) is showing wrong monthly amount. Please correct it.,protein powder,Grocery & Health,Payment Issue,High,Very Negative,0.9,No,EMI plan restored to original terms. Difference amount adjusted.,2023-10-03,6,No,4
TKT100006,2024-09-02,Fake reviews on the shoe rack I bought misled me into purchasing. Quality is very poor.,shoe rack,Home & Kitchen,Seller & Product Listing,Medium,Neutral,0.92,No,Seller listing flagged for review. Customer compensated with ₹8547 coupon.,2024-09-04,2,No,4
TKT100007,2023-06-11,The quality check team rejected my perfume return (order #ORD9877065) unfairly. Item has factory defect.,perfume,Beauty & Personal Care,Refund & Return,High,Negative,0.69,Yes,Exchange processed for correct size/variant. New item dispatched.,2023-06-15,4,No,1
TKT100008,2024-07-06,My cart items keep disappearing when I switch between the app and website.,bedsheet set,Home & Kitchen,App & Website Issue,Medium,Neutral,0.78,No,App cache clear resolved the issue. Customer guided through fix.,2024-07-15,9,No,3
TKT100009,2024-06-29,The color of sandals (order #ORD1326765) is completely different from what is shown online. Dark vs light.,sandals,Fashion,Product Issue,Medium,Neutral,0.9,No,Full refund processed. Seller account flagged for quality investigation.,2024-07-02,3,No,3
